parl_const,parl_const_name,Average max download speed (Mbit/s) for lines <10Mbit/s,Average max download speed (Mbit/s) for lines 10<30Mbit/s,Average max download speed (Mbit/s) for lines 30<100Mbit/s,Average max download speed (Mbit/s) for lines 100<300Mbit/s,Average max download speed (Mbit/s) for lines 300<900Mbit/s,Average max download speed (Mbit/s) for lines >=900Mbit/s,Average max upload speed (Mbit/s) for lines <10Mbit/s,Average max upload speed (Mbit/s) for lines 10<30Mbit/s,Average max upload speed (Mbit/s) for lines 30<100Mbit/s,Average max upload speed (Mbit/s) for lines 100<300Mbit/s,Average max upload speed (Mbit/s) for lines 300<900Mbit/s,Average max upload speed (Mbit/s) for lines >=900Mbit/s
E14001195,Derbyshire Dales,7,22.2,63,163,493,1039,0.9,1.7,15,48,168,475
E14001196,Dewsbury and Batley,6.3,20.1,63,184,457,1023,1.2,1.8,17.6,30,83,498
E14001197,Didcot and Wantage,6.2,21.3,64,184,465,1042,1.1,1.9,15.4,35,125,224
E14001198,Doncaster Central,6.2,20.9,64,173,472,1017,1,1.7,17.8,31,89,463
E14001199,Doncaster East and the Isle of Axholme,6.5,21.6,63,170,478,1017,1.3,2,15.3,64,146,496
E14001200,Doncaster North,6.4,20.5,60,183,467,1067,1.2,2.3,14.4,30,69,152
E14001201,Dorking and Horley,6.5,21,63,186,462,1027,1.1,2,14.9,36,94,390
E14001202,Dover and Deal,6.4,20.9,61,174,470,1057,1.1,2.3,14.5,29,69,165
E14001203,Droitwich and Evesham,6.6,21.3,64,161,512,1062,1.2,2.1,15.5,55,227,583
E14001204,Dudley,6.7,19.9,61,195,450,1100,1.2,1.8,14.2,35,116,308
E14001205,Dulwich and West Norwood,6.7,21.1,67,184,459,1051,0.9,1.6,16.5,45,158,604
S14000073,Dumfries and Galloway,7.2,22.1,62,157,500,998,0.9,1.6,14.9,29,69,115
S14000074,"Dumfriesshire, Clydesdale and Tweeddale",7.3,22.6,62,157,474,1001,0.9,1.6,14.8,29,66,115
S14000075,Dundee Central,6.7,21.1,66,186,457,1032,1.1,1.3,17.6,30,74,449
S14000076,Dunfermline and Dollar,6.5,20.6,63,178,471,1058,1.1,2.2,15.2,27,59,111
E14001206,Dunstable and Leighton Buzzard,6.7,20.6,64,195,452,1088,1.1,1.6,15.1,26,60,116
W07000096,Dwyfor Meirionnydd,7.2,22.8,64,157,479,997,0.7,1.2,15.3,29,67,115
E14001207,Ealing Central and Acton,6.1,21.4,68,189,441,1037,1,1.5,16.4,52,190,611
E14001208,Ealing North,5.8,20.7,67,194,451,1040,1.1,2.7,16.1,39,133,699
E14001209,Ealing Southall,6.2,20,69,195,446,979,1.2,2.1,16.7,50,165,745
E14001210,Earley and Woodley,6.7,20.4,65,186,466,1028,1.2,2.2,16.7,35,120,542
E14001211,Easington,6.1,20.1,62,189,439,1099,1,2.3,14.9,25,53,125
N05000005,East Antrim,6.3,21.3,64,172,459,1036,0.8,1.4,15.7,28,71,122
E14001212,East Grinstead and Uckfield,6.4,21.5,64,163,487,1006,1.1,2,15.3,39,122,367
E14001213,East Ham,6.4,20.1,67,170,474,1059,1.1,2,16.9,76,308,959
E14001214,East Hampshire,6.9,22.2,62,180,468,1043,1.1,1.6,14.9,33,96,250
S14000077,East Kilbride and Strathaven,6.5,20.8,64,197,449,1094,1,1.9,15.2,27,61,173
N05000006,East Londonderry,6.8,21.3,63,162,448,1016,0.7,1.4,15.4,29,84,148
S14000021,East Renfrewshire,6.7,20.7,62,191,458,1060,1.2,1.6,15.4,30,79,381
E14001215,East Surrey,6.6,20.8,63,186,464,1045,1,2.2,15,29,62,195
E14001216,East Thanet,6.4,20.4,62,169,481,1036,1.3,2.3,15.2,28,66,120
E14001217,East Wiltshire,7.6,22.3,65,189,465,1060,0.8,1,15.4,33,90,163
